Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft,Floor_Level,Property_Age,Nearby_Amenities
344.4448,2,2,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1,3310000,Ready_to_move,Resale,Builder_Floor,9609.6675,3rd Floor,5-10 years,None
660,2,2,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1,4700000,Ready_to_move,New_Property,Builder_Floor,7121.212121,Penthouse,5-10 years,Near Mall
550,2,2,Semi-Furnished,Rohini Sector 22,1,4500000,Ready_to_move,New_Property,Builder_Floor,8181.818182,Ground Floor,5-10 years,None
1100,4,3,Semi-Furnished,Rohini Sector 16,1,17000000,Ready_to_move,New_Property,Builder_Floor,15454.54545,Penthouse,20+ years,Near Hospital
1150,3,3,Semi-Furnished,Rohini Sector 14,1,25000000,Ready_to_move,Resale,Apartment,21739.13043,2nd Floor,20+ years,Near Hospital
650,2,2,Semi-Furnished,Rohini Sector 24,1,6000000,Ready_to_move,Resale,Builder_Floor,9230.769231,Ground Floor,20+ years,Near Hospital
850,2,2,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1,11000000,Ready_to_move,Resale,Apartment,12941.17647,1st Floor,0-5 years,Near Metro
900,3,2,Semi-Furnished,"Vijay Vihar, Rohini",5,4500000,Ready_to_move,Resale,Builder_Floor,5000,3rd Floor,5-10 years,Near Metro
430.556,1,1,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2,5300000,Ready_to_move,Resale,Apartment,12309.66471,3rd Floor,10-20 years,Near Park
900,2,2,Semi-Furnished,"Prashant Vihar, Rohini",1,10500000,Ready_to_move,Resale,Apartment,11666.66667,Ground Floor,5-10 years,Near Park
914.9315,2,2,Semi-Furnished,Rohini Sector 5,1,12000000,Ready_to_move,Resale,Builder_Floor,13115.73599,1st Floor,5-10 years,Near Park
1100,3,3,Furnished,Rohini Sector 20,1,7000000,Ready_to_move,New_Property,Builder_Floor,6363.636364,Ground Floor,10-20 years,Near Mall
800,3,2,Semi-Furnished,Rohini Sector 25,1,7000000,Ready_to_move,Resale,Builder_Floor,8750,3rd Floor,20+ years,Near Metro
500,1,1,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1,3400000,Ready_to_move,Resale,Apartment,6800,2nd Floor,20+ years,Near Park
28,2,2,Furnished,Rohini Sector 25,1,5000000,Ready_to_move,New_Property,Apartment,178571.4286,1st Floor,5-10 years,Near Mall
2160,4,4,Furnished,Rohini Sector 19,1,21000000,Ready_to_move,New_Property,Builder_Floor,9722.222222,Ground Floor,20+ years,Near Metro
1500,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,9000,1st Floor,10-20 years,Near Park
800,2,2,Unfurnished,Lajpat Nagar 1,1,15000000,Ready_to_move,New_Property,Builder_Floor,18750,1st Floor,0-5 years,Near Hospital
900,2,2,Unfurnished,Lajpat Nagar,1,10500000,Ready_to_move,New_Property,Builder_Floor,11666.66667,Penthouse,5-10 years,Near Metro
1080,3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,20833.33333,3rd Floor,5-10 years,None
750,2,2,Unfurnished,Lajpat Nagar 4,1,13600000,Ready_to_move,New_Property,Builder_Floor,18133.33333,3rd Floor,20+ years,None
1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,20689.65517,3rd Floor,5-10 years,Near Metro
900,2,2,Semi-Furnished,Lajpat Nagar,1,13500000,Ready_to_move,New_Property,Apartment,15000,3rd Floor,10-20 years,Near Park
810,2,2,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1,8910000,Ready_to_move,Resale,Builder_Floor,11000,1st Floor,0-5 years,Near Metro
1350,3,4,Unfurnished,Lajpat Nagar,1,25000000,Ready_to_move,Resale,Apartment,18518.51852,3rd Floor,5-10 years,Near Mall
1710,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,15204.67836,Ground Floor,10-20 years,Near Mall
1650,3,3,Semi-Furnished,Lajpat Nagar,1,30000000,Ready_to_move,Resale,Builder_Floor,18181.81818,1st Floor,0-5 years,Near Metro
1280,2,2,Furnished,Lajpat Nagar,1,12500000,Ready_to_move,Resale,Builder_Floor,9765.625,3rd Floor,5-10 years,Near Mall
1260,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,16666.66667,2nd Floor,0-5 years,Near Mall
1130,2,2,Unfurnished,Lajpat Nagar 4,1,7800000,Ready_to_move,Resale,Builder_Floor,6902.654867,1st Floor,20+ years,Near Mall
600,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",1,11500000,Ready_to_move,New_Property,Builder_Floor,19166.66667,Ground Floor,10-20 years,Near Metro
850,2,2,Semi-Furnished,Lajpat Nagar 1,1,11500000,Ready_to_move,Resale,Builder_Floor,13529.41176,1st Floor,0-5 years,Near Mall
1500,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,17333.33333,3rd Floor,20+ years,Near Park
900,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",2,13000000,Ready_to_move,New_Property,Builder_Floor,14444.44444,Penthouse,0-5 years,Near Mall
1000,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22000000,Ready_to_move,New_Property,Builder_Floor,22000,3rd Floor,5-10 years,Near Park
900,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,17555.55556,Ground Floor,5-10 years,Near Mall
2925,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,19658.11966,2nd Floor,10-20 years,Near Hospital
900,2,2,Unfurnished,Lajpat Nagar 1,2,10000000,Ready_to_move,Resale,Builder_Floor,11111.11111,1st Floor,10-20 years,None
1600,3,3,Unfurnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,18750,Ground Floor,20+ years,Near Mall
1143,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",2,22000000,Ready_to_move,New_Property,Builder_Floor,19247.59405,1st Floor,0-5 years,Near Mall
1150,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2,24000000,Ready_to_move,New_Property,Builder_Floor,20869.56522,Ground Floor,5-10 years,Near Mall
1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,21000,Ground Floor,10-20 years,Near Park
850,2,2,Semi-Furnished,Lajpat Nagar 2,1,14600000,Ready_to_move,Resale,Builder_Floor,17176.47059,Ground Floor,10-20 years,Near Mall
8000,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,30000,2nd Floor,0-5 years,Near Metro
890,2,2,Semi-Furnished,Lajpat Nagar 1,1,8300000,Ready_to_move,Resale,Builder_Floor,9325.842697,Ground Floor,10-20 years,Near Hospital
1100,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,20454.54545,Penthouse,0-5 years,None
750,1,1,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2,4600000,Ready_to_move,Resale,Apartment,6133.333333,2nd Floor,10-20 years,Near Metro
850,2,1,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2,1900000,Ready_to_move,New_Property,Apartment,2235.294118,3rd Floor,5-10 years,Near Metro
1350,3,2,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,3800,1st Floor,20+ years,Near Metro
1387,4,4,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,4246.575342,Ground Floor,20+ years,Near Park
1050,3,2,Unfurnished,"The Elite Spire, Dwarka Sector 21",1,3700000,Ready_to_move,New_Property,Apartment,3523.809524,3rd Floor,10-20 years,Near Metro
1500,3,2,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,11600,1st Floor,10-20 years,Near Hospital
1200,3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,12916.66667,1st Floor,5-10 years,Near Mall
700,2,1,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,2400000,Almost_ready,New_Property,Apartment,3428.571429,Penthouse,10-20 years,Near Park
1700,3,2,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1,17200000,Ready_to_move,Resale,Apartment,10117.64706,3rd Floor,0-5 years,Near Metro
1550,3,2,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2,14200000,Ready_to_move,Resale,Apartment,9161.290323,2nd Floor,0-5 years,Near Mall
1400,3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,13500000,Ready_to_move,Resale,Apartment,9642.857143,2nd Floor,5-10 years,Near Park
1900,4,4,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1,30000000,Ready_to_move,Resale,Apartment,15789.47368,Ground Floor,20+ years,Near Park
2160,4,3,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1,21000000,Ready_to_move,Resale,Apartment,9722.222222,Ground Floor,5-10 years,Near Park
1700,4,3,Unfurnished,"Neelachal, Dwarka Sector 5",1,20500000,Ready_to_move,Resale,Apartment,12058.82353,1st Floor,0-5 years,Near Park
1850,3,4,Semi-Furnished,Dwarka,1,24000000,Ready_to_move,Resale,Apartment,12972.97297,Ground Floor,10-20 years,Near Hospital
1800,4,2,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1,16500000,Ready_to_move,Resale,Apartment,9166.666667,1st Floor,10-20 years,Near Hospital
1620,3,2,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1,14900000,Ready_to_move,Resale,Apartment,9197.530864,3rd Floor,10-20 years,Near Mall
1800,4,3,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1,19200000,Ready_to_move,Resale,Apartment,10666.66667,1st Floor,5-10 years,Near Mall
1540,3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,9415.584416,3rd Floor,5-10 years,Near Park
1600,3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka",1,15600000,Ready_to_move,Resale,Apartment,9750,1st Floor,5-10 years,Near Park
1400,3,2,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1,11400000,Ready_to_move,Resale,Apartment,8142.857143,2nd Floor,0-5 years,None
2300,4,4,Furnished,"Mohinder Apartments, Dwarka",1,31500000,Ready_to_move,Resale,Apartment,13695.65217,Ground Floor,20+ years,Near Metro
1560,3,2,Furnished,"Ashoka Apartments, Dwarka Sector 12",2,15800000,Ready_to_move,Resale,Apartment,10128.20513,Ground Floor,20+ years,Near Park
1500,3,3,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2,16000000,Ready_to_move,Resale,Apartment,10666.66667,2nd Floor,0-5 years,None
1540,3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,9415.584416,1st Floor,20+ years,Near Metro
1050,2,2,Unfurnished,"LNT Apartments, Dwarka",1,10500000,Ready_to_move,Resale,Apartment,10000,3rd Floor,0-5 years,Near Metro
1800,3,2,Semi-Furnished,Dwarka Sector 4,1,14800000,Ready_to_move,Resale,Apartment,8222.222222,2nd Floor,0-5 years,Near Metro
400,1,1,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1,1850000,Ready_to_move,New_Property,Builder_Floor,4625,1st Floor,10-20 years,Near Hospital
1150,3,2,Semi-Furnished,Dwarka Sector 16B,1,6800000,Ready_to_move,New_Property,Builder_Floor,5913.043478,Ground Floor,5-10 years,Near Hospital
1525,3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,14200000,Ready_to_move,Resale,Apartment,9311.47541,2nd Floor,20+ years,None
900,1,1,Semi-Furnished,Lajpat Nagar 3,,8900000,Ready_to_move,Resale,Builder_Floor,9888.888889,1st Floor,10-20 years,Near Hospital
1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,37500000,Ready_to_move,New_Property,Builder_Floor,25862.06897,Penthouse,20+ years,Near Hospital
1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,20689.65517,Penthouse,20+ years,Near Mall
1260,3,3,Semi-Furnished,Lajpat Nagar 3,2,21000000,Ready_to_move,Resale,Builder_Floor,16666.66667,1st Floor,0-5 years,Near Hospital
2925,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,19658.11966,Penthouse,20+ years,None
1710,3,3,Semi-Furnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,17543.85965,3rd Floor,20+ years,None
1600,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,New_Property,Builder_Floor,18750,2nd Floor,20+ years,Near Mall
1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,21000,Ground Floor,5-10 years,Near Hospital
2200,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,13636.36364,Ground Floor,20+ years,Near Metro
1350,3,3,Unfurnished,Lajpat Nagar 3,1,41500000,Ready_to_move,New_Property,Builder_Floor,30740.74074,Ground Floor,10-20 years,None
1710,3,3,Semi-Furnished,Lajpat Nagar 3,1,24800000,Ready_to_move,Resale,Builder_Floor,14502.92398,Ground Floor,5-10 years,Near Mall
1350,3,3,Semi-Furnished,Lajpat Nagar 3,2,35000000,Ready_to_move,Resale,Builder_Floor,25925.92593,1st Floor,10-20 years,Near Mall
1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,40000000,Ready_to_move,Resale,Builder_Floor,26666.66667,1st Floor,20+ years,Near Hospital
2880,4,5,Unfurnished,Lajpat Nagar 3,1,46000000,Ready_to_move,New_Property,Builder_Floor,15972.22222,Ground Floor,20+ years,Near Park
2700,4,4,Semi-Furnished,Lajpat Nagar 3,2,55000000,Ready_to_move,Resale,Builder_Floor,20370.37037,1st Floor,5-10 years,None
1400,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Builder_Floor,17500,Penthouse,20+ years,None
1800,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Apartment,13611.11111,1st Floor,5-10 years,Near Hospital
1400,3,3,Semi-Furnished,Lajpat Nagar 3,1,32500000,Ready_to_move,New_Property,Builder_Floor,23214.28571,2nd Floor,5-10 years,Near Metro
1000,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,20000,Ground Floor,0-5 years,None
8000,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,30000,1st Floor,0-5 years,None
1000,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,20000,2nd Floor,5-10 years,None
1700,3,3,Furnished,Lajpat Nagar 3,2,19000000,Ready_to_move,Resale,Builder_Floor,11176.47059,2nd Floor,20+ years,None
1600,3,3,Unfurnished,Lajpat Nagar 3,2,26000000,Ready_to_move,Resale,Builder_Floor,16250,Ground Floor,5-10 years,Near Hospital
1350,3,3,Unfurnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,15555.55556,2nd Floor,5-10 years,Near Park
1700,3,3,Semi-Furnished,Lajpat Nagar 3,1,27500000,Ready_to_move,Resale,Builder_Floor,16176.47059,Ground Floor,20+ years,None
1400,3,3,Semi-Furnished,Lajpat Nagar 3,2,32500000,Ready_to_move,New_Property,Builder_Floor,23214.28571,Ground Floor,0-5 years,Near Metro
1450,3,3,Semi-Furnished,Lajpat Nagar 3,1,45000000,Ready_to_move,New_Property,Builder_Floor,31034.48276,1st Floor,20+ years,Near Metro
1350,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,15555.55556,Penthouse,5-10 years,Near Mall
1700,3,3,Unfurnished,Lajpat Nagar 3,1,28000000,Ready_to_move,Resale,Builder_Floor,16470.58824,1st Floor,10-20 years,Near Mall
1600,3,3,Unfurnished,Lajpat Nagar 3,2,29500000,Ready_to_move,Resale,Builder_Floor,18437.5,Ground Floor,20+ years,Near Park
1500,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,9000,3rd Floor,5-10 years,Near Hospital
800,2,2,Unfurnished,Lajpat Nagar 2,1,14000000,Ready_to_move,New_Property,Builder_Floor,17500,1st Floor,20+ years,None
1710,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,15204.67836,2nd Floor,5-10 years,None
1350,2,2,Furnished,Lajpat Nagar 2,4,12500000,Ready_to_move,Resale,Builder_Floor,9259.259259,3rd Floor,5-10 years,Near Metro
1500,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,17333.33333,1st Floor,0-5 years,Near Park
750,2,2,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2,11500000,Ready_to_move,New_Property,Builder_Floor,15333.33333,Ground Floor,5-10 years,Near Metro
850,2,2,Semi-Furnished,Lajpat Nagar 2,2,14600000,Ready_to_move,Resale,Builder_Floor,17176.47059,Penthouse,20+ years,Near Hospital
1575,3,3,Semi-Furnished,Lajpat Nagar 2,1,25500000,Ready_to_move,New_Property,Builder_Floor,16190.47619,1st Floor,20+ years,Near Park
1675,3,3,Semi-Furnished,Lajpat Nagar 2,2,31000000,Ready_to_move,New_Property,Builder_Floor,18507.46269,Penthouse,5-10 years,Near Park
1350,3,3,Semi-Furnished,Lajpat Nagar 2,2,22000000,Ready_to_move,Resale,Builder_Floor,16296.2963,Penthouse,0-5 years,Near Mall
900,2,2,Semi-Furnished,Lajpat Nagar 2,2,13400000,Ready_to_move,New_Property,Builder_Floor,14888.88889,Penthouse,10-20 years,Near Mall
1800,3,3,Semi-Furnished,Lajpat Nagar 2,2,35000000,Almost_ready,New_Property,Builder_Floor,19444.44444,1st Floor,20+ years,Near Park
900,2,2,Furnished,Lajpat Nagar 2,2,11000000,Ready_to_move,Resale,Builder_Floor,12222.22222,Penthouse,5-10 years,None
900,2,2,Unfurnished,"Vinoba Puri, Lajpat Nagar",2,6300000,Ready_to_move,Resale,Builder_Floor,7000,Penthouse,0-5 years,Near Park
900,2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Builder_Floor,13888.88889,1st Floor,0-5 years,Near Metro
800,2,2,Unfurnished,Lajpat Nagar 2,1,14500000,Ready_to_move,New_Property,Builder_Floor,18125,2nd Floor,5-10 years,Near Park
1100,2,3,Semi-Furnished,Lajpat Nagar 2,1,22500000,Ready_to_move,New_Property,Builder_Floor,20454.54545,3rd Floor,20+ years,Near Mall
810,2,2,Semi-Furnished,Lajpat Nagar 2,1,15500000,Ready_to_move,New_Property,Builder_Floor,19135.80247,Penthouse,0-5 years,Near Hospital
1500,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,Builder_Floor,17333.33333,Penthouse,0-5 years,Near Metro
900,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,17555.55556,2nd Floor,5-10 years,Near Mall
825,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,18181.81818,3rd Floor,20+ years,None
900,2,2,Unfurnished,Lajpat Nagar 2,1,13000000,Ready_to_move,New_Property,Builder_Floor,14444.44444,Ground Floor,10-20 years,None
875,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,17142.85714,3rd Floor,0-5 years,Near Hospital
1350,3,3,Semi-Furnished,Lajpat Nagar 2,1,25000000,Ready_to_move,New_Property,Builder_Floor,18518.51852,Ground Floor,10-20 years,Near Hospital
750,2,2,Semi-Furnished,Lajpat Nagar 2,1,16500000,Ready_to_move,New_Property,Builder_Floor,22000,1st Floor,10-20 years,Near Mall
900,2,2,Unfurnished,Lajpat Nagar 2,1,10300000,Ready_to_move,New_Property,Builder_Floor,11444.44444,2nd Floor,10-20 years,Near Park
1350,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,Builder_Floor,19259.25926,3rd Floor,10-20 years,Near Hospital
900,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,Builder_Floor,12222.22222,2nd Floor,20+ years,Near Hospital
1800,3,3,Unfurnished,Lajpat Nagar 2,1,28500000,Ready_to_move,New_Property,Builder_Floor,15833.33333,3rd Floor,5-10 years,Near Park
900,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,Builder_Floor,12222.22222,Penthouse,20+ years,Near Metro
900,2,1,Furnished,Budh Vihar,1,11000000,Ready_to_move,Resale,Apartment,12222.22222,3rd Floor,10-20 years,Near Park
810,3,2,Semi-Furnished,Budh Vihar,1,4500000,Ready_to_move,Resale,Builder_Floor,5555.555556,1st Floor,20+ years,Near Metro
450,2,1,Unfurnished,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",1,3600000,Ready_to_move,Resale,Builder_Floor,8000,1st Floor,10-20 years,Near Hospital
100,3,2,Furnished,Budh Vihar Phase 1,1,4300000,Ready_to_move,New_Property,Builder_Floor,43000,2nd Floor,20+ years,Near Hospital
900,3,2,Semi-Furnished,Budh Vihar,1,4000000,Ready_to_move,Resale,Builder_Floor,4444.444444,3rd Floor,10-20 years,Near Mall
500,2,2,Semi-Furnished,Budh Vihar Phase 1,1,1650000,Ready_to_move,Resale,Apartment,3300,2nd Floor,20+ years,Near Hospital
450,1,1,Furnished,Budh Vihar,1,2000000,Ready_to_move,Resale,Builder_Floor,4444.444444,3rd Floor,0-5 years,Near Mall
75,2,2,Semi-Furnished,Budh Vihar,1,3000000,Ready_to_move,Resale,Builder_Floor,40000,Ground Floor,10-20 years,Near Metro
270,2,1,Semi-Furnished,Budh Vihar Phase 1,1,1400000,Ready_to_move,Resale,Apartment,5185.185185,Penthouse,5-10 years,Near Metro
500,2,1,Semi-Furnished,Budh Vihar Phase 1,1,2000000,Ready_to_move,Resale,Builder_Floor,4000,3rd Floor,20+ years,Near Mall
